player_id,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,total_offside,touches,total_pass,total_through_ball,total_cross,corner_taken
52087,15,2,1,0,0,0,1,1086,687,0,77,8
43997,15,5,0,0,0,0,10,265,160,0,3,0
35862,15,4,1,0,0,0,2,1393,1043,3,21,0
175528,15,5,0,2,0,0,2,178,98,0,4,0
96594,14,3,0,0,0,0,5,325,196,0,5,0
160032,14,5,1,0,0,0,0,978,711,1,4,0
180000,14,2,0,0,0,0,0,1048,745,7,40,28
30925,14,3,0,0,0,0,2,1794,1329,1,47,0
42727,14,8,0,0,0,0,1,439,259,1,7,0
20023,14,5,1,1,0,0,7,314,176,0,7,0
50015,14,3,0,0,0,0,3,2060,1620,0,45,1
160892,14,6,0,2,0,0,0,1893,1563,1,6,0
160845,14,6,0,0,0,0,1,821,429,1,32,1
34626,14,3,0,0,0,0,0,1194,943,1,34,1
133868,13,3,0,0,0,0,2,1892,1099,0,61,0
35149,13,3,0,0,0,0,3,917,603,1,8,0
162118,13,5,1,0,0,0,0,692,475,3,5,0
135117,13,6,0,0,0,0,1,140,76,0,3,0
48260,13,4,1,1,0,0,0,1312,1036,2,0,0
19592,13,6,0,1,0,0,0,1499,1326,0,0,0
94140,13,7,1,0,0,0,1,1042,715,0,54,20
162021,13,3,1,0,0,0,1,663,454,2,18,0
135169,13,8,1,0,0,0,3,179,82,2,2,0
20234,12,3,0,0,0,0,1,2039,1706,12,9,0
53036,12,4,0,0,0,0,5,1790,1034,0,112,0
135177,12,2,0,0,0,0,0,1099,796,0,34,0
160781,12,4,0,0,0,0,3,312,201,0,9,2
129879,12,6,0,2,0,0,1,1091,770,0,1,0
159741,12,5,2,0,0,0,4,193,112,0,2,0
135251,12,5,1,1,0,0,2,1334,862,0,28,0
132771,12,4,0,0,3,0,0,2183,1861,16,8,0
55835,12,5,2,0,0,0,0,1595,1325,1,3,0
135976,12,2,0,0,0,0,1,200,102,1,23,1
6723,12,2,0,0,0,0,1,2237,1960,0,2,0
166789,12,5,0,0,0,0,2,309,116,1,22,0
19506,12,4,0,0,2,0,1,771,622,2,17,7
17894,12,5,0,1,0,0,0,296,156,0,15,0
180046,12,4,0,0,0,0,1,248,138,0,15,0
42970,12,3,0,0,0,0,1,1741,1360,4,115,76
21858,12,4,0,0,0,0,0,481,300,2,8,3
135589,12,4,0,0,0,0,1,1777,1519,0,0,0
135245,11,5,0,0,0,0,0,720,467,5,33,6
53174,11,5,0,0,0,0,10,1710,942,0,108,0
175596,11,4,0,0,0,0,4,121,59,1,6,0
131780,11,5,1,0,0,0,0,1481,1152,7,6,1
144363,11,5,0,0,0,0,1,1324,1022,2,2,0
93814,11,4,0,0,0,0,3,254,127,1,2,0
179281,11,2,0,1,0,0,4,185,100,0,2,0
129759,11,4,0,0,0,0,0,1551,1334,3,8,0
51690,11,2,0,0,0,0,2,807,615,0,0,0
90987,11,2,0,0,0,0,0,1575,1330,4,25,6
26145,11,3,0,0,0,0,0,1897,1582,4,14,0
180108,10,5,0,0,0,0,0,972,502,1,57,0
156959,10,4,0,0,0,0,0,683,498,1,1,0
180212,10,5,2,0,0,0,1,215,95,0,17,4
135262,10,0,1,0,0,0,3,2012,1339,3,42,0
160682,10,3,0,0,0,0,0,1152,888,4,49,44
10046,10,1,1,1,0,0,1,1492,1172,0,1,0
14287,10,5,0,0,0,0,2,602,405,1,2,0
7431,10,2,0,0,0,0,3,610,501,4,22,8
161996,10,4,2,0,0,0,3,174,94,2,0,0
