playerId,info_shirtNum,info_positionInfo,info_loan,nationalTeam_isoCode,currentTeam_club_id,birth_date_label,birth_country_isoCode,name_display
52220,47,Centre/Right Attacking Midfielder,FALSE,GB-ENG,11,5/28/2000,GB-ENG,Phil Foden
132771,5,Centre Central Midfielder,FALSE,IT,4,12/20/1991,BR,Jorginho
91606,14,Centre Striker,FALSE,NG,26,10/3/1996,NG,Kelechi Iheanacho
18721,7,Centre/Right Second Striker,FALSE,NO,127,1/15/1992,NO,Joshua King
53178,7,Centre Central Midfielder,FALSE,GB-ENG,18,2/18/1994,GB-ENG,John Lundstram
43231,39,Centre Attacking Midfielder,FALSE,GB-SCT,12,12/8/1996,GB-ENG,Scott McTominay
4029,16,Centre Central Midfielder,FALSE,GB-ENG,25,5/8/1987,GB-ENG,Mark Noble
161459,22,Left/Right Winger,FALSE,GB-ENG,20,3/6/1994,GB-ENG,Nathan Redmond
94228,27,Right Winger,FALSE,BR,21,8/13/1992,BR,Lucas Moura
5745,21,Left/Centre/Right Attacking Midfielder,FALSE,ES,11,1/8/1986,ES,David Silva
135191,37,Right Winger,FALSE,ES,38,1/25/1996,ES,Adama Traoré
92622,4,Centre Central Defender,FALSE,NL,10,7/8/1991,NL,Virgil van Dijk
131781,7,Left/Right Winger,FALSE,UA,25,10/23/1989,RU,Andriy Yarmolenko
30533,,Right Full Back,FALSE,GB-ENG,10,10/7/1998,GB-ENG,Trent Alexander-Arnold
154335,24,Left/Centre/Right Second Striker,FALSE,PY,23,2/10/1994,PY,Miguel Almirón
135245,20,Left Winger,FALSE,BR,7,9/8/1992,BR,Bernard
91050,30,Left/Right Winger,FALSE,GB-ENG,25,3/28/1990,GB-ENG,Michail Antonio
129749,21,Right Full Back,FALSE,PT,26,10/6/1993,PT,Ricardo Pereira
180005,23,Left/Right Winger,FALSE,NL,21,10/8/1997,NL,Steven Bergwijn
20752,25,Full Back,TRUE,GB-ENG,26,12/21/1996,GB-ENG,Ben Chilwell
14131,3,Left Full Back,FALSE,GB-ENG,25,12/15/1989,GB-ENG,Aaron Cresswell
160025,32,Centre Central Midfielder,FALSE,BE,38,4/15/1995,BE,Leander Dendoncker
129879,23,Centre Central Defender,FALSE,FR,25,1/9/1997,FR,Issa Diop
13742,30,Defender,TRUE,GB-ENG,131,11/21/1991,GB-ENG,Lewis Dunk
94221,18,Centre Striker,FALSE,FR,4,9/30/1986,FR,Olivier Giroud
14287,4,Centre/Right Central Midfielder,FALSE,GB-ENG,127,2/1/1990,GB-ENG,Dan Gosling
160672,17,Left/Right Winger,FALSE,EG,2,10/1/1994,EG,Trézéguet
5990,14,Centre Central Midfielder,FALSE,GB-ENG,10,6/17/1990,GB-ENG,Jordan Henderson
160158,16,Centre Central Midfielder,FALSE,ES,11,6/22/1996,ES,Rodrigo
43135,14,Centre Central Midfielder,FALSE,IE,2,2/2/1991,IE,Conor Hourihane
159627,21,Left/Right Winger,FALSE,GB-WLS,12,11/10/1997,GB-ENG,Daniel James
30960,7,Centre Central Midfielder,FALSE,FR,4,3/29/1991,FR,N'Golo Kanté
160895,7,Right Winger,FALSE,PT,38,3/9/2000,PT,Pedro Neto
166789,,Midfielder,FALSE,BR,1,6/18/2001,BR,Gabriel Martinelli
135200,7,Centre Central Midfielder,FALSE,GB-SCT,2,10/18/1994,GB-SCT,John McGinn
7748,4,Centre Central Midfielder,FALSE,RS,6,4/7/1991,YU,Luka Milivojevic
17894,27,Centre Striker,TRUE,BE,10,4/18/1995,BE,Divock Origi
157053,15,Left/Centre/Right Central Midfielder,FALSE,GB-ENG,10,8/15/1993,GB-ENG,Alex Oxlade-Chamberlain
32103,37,Left/Centre/Right Central Midfielder,FALSE,AR,33,1/7/1991,AR,Roberto Pereyra
160846,10,Left/Right Winger,FALSE,FR,23,3/12/1997,FR,Allan Saint-Maximin
20023,10,Centre Striker,FALSE,GB-ENG,18,2/5/1986,GB-ENG,Billy Sharp
160683,6,Centre Central Midfielder,FALSE,BR,2,5/9/1998,BR,Douglas Luiz
160314,8,Centre Central Midfielder,FALSE,BE,26,5/7/1997,BE,Youri Tielemans
159713,11,Left Winger,FALSE,BE,131,12/4/1994,BE,Leandro Trossard
23462,3,Left Full Back,FALSE,NL,6,8/29/1990,NL,Patrick van Aanholt
160892,15,Centre Central Defender,FALSE,GB-ENG,131,1/4/1995,GB-ENG,Adam Webster
31015,5,Left/Centre/Right Attacking Midfielder,FALSE,NL,10,11/11/1990,NL,Georginio Wijnaldum
13935,11,Left/Centre/Right Winger,FALSE,CI,6,11/10/1992,CI,Wilfried Zaha
47172,5,Left/Centre Central Defender,FALSE,NL,127,2/18/1995,NL,Nathan Aké
160671,9,Centre Striker,FALSE,BR,23,8/14/1996,BR,Joelinton
6280,28,Left/Right Full Back,FALSE,ES,4,8/28/1989,ES,César Azpilicueta
53174,,Defender,FALSE,GB-ENG,18,3/9/1993,GB-ENG,George Baldock
31074,2,Central Defender,FALSE,IE,23,9/26/1989,IE,Ciaran Clark
154766,18,Centre Striker,TRUE,IE,131,1/28/2000,IE,Aaron Connolly
175596,63,Centre Striker,TRUE,IT,38,1/3/1998,IT,Patrick Cutrone
49704,8,Centre Central Midfielder,FALSE,PT,38,3/13/1997,PT,Rúben Neves
159638,12,Left/Right Winger,FALSE,ML,20,6/15/1998,ML,Moussa Djenepo
180025,24,Centre Attacking Midfielder,FALSE,DK,21,2/14/1992,DK,Christian Eriksen
135251,18,Centre Central Defender,FALSE,AR,23,2/21/1989,AR,Federico Fernández
159637,18,Centre Central Midfielder,FALSE,ES,25,2/22/1996,ES,Pablo Fornals
135117,16,Centre Striker,TRUE,GB-ENG,23,10/17/1990,GB-ENG,Dwight Gayle
51790,18,Centre Striker,FALSE,GB-ENG,33,6/26/1991,GB-ENG,Andre Gray
48182,13,Centre Central Midfielder,FALSE,DE,131,6/15/1991,DE,Pascal Groß
