player_id,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,aerial_won,own_goals,error_lead_to_goal,penalty_conceded,fouls,aerial_lost
30960.0,5.0,42.0,43.0,0.0,28.0,9.0,18.0,0.0,2.0,0.0,45.0,31.0
94133.0,5.0,16.0,9.0,0.0,17.0,6.0,18.0,0.0,0.0,0.0,6.0,9.0
135591.0,5.0,19.0,31.0,0.0,19.0,7.0,17.0,0.0,1.0,0.0,15.0,21.0
34883.0,5.0,11.0,15.0,0.0,65.0,34.0,37.0,1.0,0.0,0.0,16.0,25.0
31289.0,5.0,14.0,39.0,0.0,22.0,10.0,12.0,0.0,0.0,0.0,10.0,14.0
51329.0,5.0,15.0,27.0,1.0,18.0,12.0,22.0,0.0,0.0,0.0,15.0,14.0
161558.0,5.0,20.0,64.0,0.0,10.0,1.0,13.0,0.0,0.0,0.0,22.0,18.0
128766.0,5.0,26.0,43.0,0.0,19.0,6.0,22.0,0.0,0.0,0.0,27.0,35.0
43231.0,5.0,28.0,42.0,0.0,32.0,20.0,43.0,0.0,1.0,0.0,33.0,31.0
7748.0,5.0,39.0,52.0,0.0,33.0,12.0,30.0,0.0,0.0,1.0,41.0,23.0
135240.0,5.0,23.0,54.0,1.0,30.0,14.0,20.0,0.0,0.0,0.0,25.0,17.0
179384.0,5.0,19.0,35.0,0.0,21.0,9.0,13.0,0.0,0.0,0.0,10.0,22.0
4029.0,5.0,19.0,48.0,0.0,10.0,8.0,14.0,0.0,0.0,0.0,27.0,10.0
51703.0,5.0,32.0,59.0,0.0,29.0,13.0,23.0,0.0,1.0,0.0,29.0,22.0
19695.0,5.0,20.0,24.0,0.0,29.0,15.0,11.0,0.0,0.0,0.0,14.0,11.0
10050.0,5.0,22.0,45.0,0.0,44.0,17.0,32.0,0.0,0.0,1.0,24.0,27.0
43133.0,5.0,11.0,12.0,0.0,21.0,8.0,8.0,0.0,0.0,0.0,6.0,13.0
51690.0,5.0,16.0,39.0,0.0,32.0,14.0,24.0,0.0,0.0,0.0,26.0,15.0
128164.0,5.0,37.0,50.0,0.0,65.0,38.0,33.0,0.0,1.0,0.0,16.0,24.0
160845.0,5.0,17.0,37.0,0.0,38.0,22.0,22.0,0.0,0.0,0.0,10.0,16.0
33511.0,5.0,8.0,17.0,0.0,15.0,6.0,7.0,0.0,0.0,0.0,8.0,11.0
180108.0,4.0,20.0,48.0,0.0,44.0,17.0,18.0,0.0,0.0,0.0,10.0,26.0
13589.0,4.0,18.0,17.0,0.0,21.0,8.0,9.0,0.0,0.0,0.0,12.0,14.0
50016.0,4.0,14.0,23.0,0.0,16.0,8.0,13.0,0.0,0.0,0.0,5.0,10.0
133646.0,4.0,11.0,63.0,0.0,34.0,25.0,67.0,0.0,0.0,0.0,32.0,110.0
19595.0,4.0,16.0,37.0,0.0,21.0,13.0,11.0,0.0,0.0,0.0,24.0,16.0
23607.0,4.0,36.0,44.0,1.0,37.0,22.0,110.0,0.0,0.0,0.0,23.0,78.0
7018.0,4.0,31.0,22.0,0.0,9.0,4.0,10.0,0.0,0.0,1.0,14.0,14.0
20255.0,4.0,3.0,26.0,0.0,29.0,19.0,36.0,0.0,0.0,1.0,18.0,21.0
90860.0,4.0,45.0,77.0,1.0,48.0,23.0,54.0,0.0,0.0,1.0,46.0,42.0
161464.0,4.0,8.0,38.0,1.0,12.0,7.0,39.0,0.0,1.0,0.0,30.0,97.0
160166.0,4.0,3.0,4.0,0.0,17.0,8.0,12.0,0.0,0.0,0.0,1.0,2.0
159627.0,4.0,7.0,21.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,12.0,25.0
159737.0,4.0,3.0,16.0,0.0,10.0,6.0,9.0,0.0,0.0,1.0,3.0,23.0
130623.0,4.0,9.0,16.0,0.0,8.0,2.0,5.0,0.0,0.0,0.0,8.0,4.0
53178.0,4.0,31.0,44.0,0.0,36.0,17.0,21.0,0.0,0.0,0.0,24.0,31.0
43049.0,4.0,12.0,13.0,0.0,37.0,24.0,47.0,0.0,0.0,0.0,7.0,5.0
34877.0,4.0,14.0,10.0,0.0,57.0,36.0,52.0,0.0,0.0,0.0,10.0,14.0
30598.0,4.0,12.0,15.0,0.0,18.0,9.0,13.0,0.0,0.0,0.0,20.0,14.0
11259.0,4.0,2.0,13.0,0.0,18.0,15.0,41.0,0.0,0.0,0.0,17.0,78.0
50015.0,4.0,24.0,25.0,0.0,30.0,13.0,28.0,0.0,0.0,0.0,25.0,30.0
31015.0,4.0,16.0,31.0,0.0,30.0,17.0,27.0,0.0,0.0,0.0,12.0,45.0
14848.0,3.0,16.0,32.0,0.0,14.0,8.0,18.0,0.0,0.0,0.0,11.0,38.0
35149.0,3.0,14.0,33.0,0.0,11.0,9.0,9.0,0.0,0.0,0.0,17.0,16.0
160688.0,3.0,13.0,35.0,0.0,17.0,13.0,75.0,0.0,0.0,0.0,52.0,152.0
43062.0,3.0,3.0,0.0,0.0,6.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0
19511.0,3.0,7.0,32.0,0.0,11.0,9.0,25.0,0.0,0.0,0.0,26.0,70.0
133651.0,3.0,7.0,15.0,0.0,3.0,1.0,24.0,0.0,0.0,0.0,16.0,33.0
32114.0,3.0,4.0,9.0,0.0,24.0,18.0,115.0,0.0,0.0,0.0,21.0,93.0
162156.0,3.0,2.0,6.0,0.0,7.0,3.0,7.0,0.0,0.0,0.0,4.0,12.0
19205.0,3.0,27.0,26.0,0.0,16.0,8.0,24.0,0.0,0.0,0.0,26.0,32.0
160457.0,3.0,15.0,26.0,0.0,16.0,9.0,15.0,0.0,1.0,0.0,18.0,9.0
30926.0,3.0,20.0,34.0,0.0,18.0,7.0,13.0,0.0,0.0,0.0,22.0,25.0
10059.0,3.0,15.0,12.0,0.0,17.0,11.0,6.0,0.0,0.0,0.0,10.0,25.0
19444.0,3.0,13.0,12.0,0.0,20.0,11.0,15.0,0.0,0.0,0.0,2.0,16.0
5990.0,3.0,29.0,61.0,0.0,17.0,3.0,24.0,0.0,0.0,0.0,28.0,11.0
43135.0,3.0,6.0,15.0,0.0,22.0,6.0,8.0,0.0,0.0,0.0,13.0,6.0
18721.0,3.0,8.0,14.0,0.0,8.0,3.0,46.0,0.0,0.0,0.0,29.0,51.0
41632.0,3.0,1.0,3.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,7.0
161985.0,3.0,6.0,13.0,0.0,24.0,14.0,5.0,0.0,0.0,0.0,3.0,2.0
180000.0,3.0,7.0,36.0,0.0,14.0,6.0,5.0,0.0,0.0,0.0,17.0,16.0
19415.0,3.0,26.0,34.0,0.0,29.0,10.0,16.0,0.0,0.0,0.0,12.0,9.0
32140.0,3.0,19.0,23.0,0.0,8.0,5.0,12.0,0.0,0.0,0.0,9.0,18.0
160847.0,3.0,14.0,35.0,0.0,35.0,31.0,162.0,0.0,0.0,0.0,19.0,158.0
19506.0,3.0,6.0,13.0,0.0,14.0,7.0,13.0,0.0,0.0,0.0,8.0,13.0
160424.0,3.0,15.0,36.0,0.0,16.0,6.0,9.0,0.0,0.0,0.0,32.0,41.0
160096.0,3.0,13.0,24.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,13.0,8.0
32098.0,3.0,4.0,13.0,0.0,6.0,4.0,19.0,0.0,0.0,0.0,16.0,5.0
179282.0,3.0,6.0,10.0,0.0,15.0,4.0,11.0,0.0,0.0,0.0,2.0,8.0
135654.0,3.0,8.0,32.0,0.0,11.0,6.0,6.0,0.0,0.0,0.0,18.0,37.0
