index,playerId,outfielderBlock,interception,totalTackle,lastManTackle,totalClearance,headClearance,aerialWon,own_Goals,errorLeadToGoal,penaltyConceded,fouls,aerialLost
185,32114.0,3.0,4.0,9.0,0.0,24.0,18.0,115.0,0.0,0.0,0.0,21.0,93.0
186,162156.0,3.0,2.0,6.0,0.0,7.0,3.0,7.0,0.0,0.0,0.0,4.0,12.0
187,19205.0,3.0,27.0,26.0,0.0,16.0,8.0,24.0,0.0,0.0,0.0,26.0,32.0
188,160457.0,3.0,15.0,26.0,0.0,16.0,9.0,15.0,0.0,1.0,0.0,18.0,9.0
189,30926.0,3.0,20.0,34.0,0.0,18.0,7.0,13.0,0.0,0.0,0.0,22.0,25.0
190,10059.0,3.0,15.0,12.0,0.0,17.0,11.0,6.0,0.0,0.0,0.0,10.0,25.0
191,19444.0,3.0,13.0,12.0,0.0,20.0,11.0,15.0,0.0,0.0,0.0,2.0,16.0
192,5990.0,3.0,29.0,62.0,0.0,17.0,3.0,24.0,0.0,0.0,0.0,29.0,11.0
193,43135.0,3.0,6.0,15.0,0.0,22.0,6.0,8.0,0.0,0.0,0.0,13.0,6.0
194,18721.0,3.0,8.0,14.0,0.0,8.0,3.0,46.0,0.0,0.0,0.0,29.0,51.0
195,41632.0,3.0,1.0,3.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,7.0
196,161985.0,3.0,6.0,13.0,0.0,24.0,14.0,5.0,0.0,0.0,0.0,3.0,2.0
197,180000.0,3.0,7.0,36.0,0.0,14.0,6.0,5.0,0.0,0.0,0.0,17.0,16.0
198,19415.0,3.0,26.0,34.0,0.0,29.0,10.0,16.0,0.0,0.0,0.0,12.0,9.0
199,32140.0,3.0,19.0,23.0,0.0,8.0,5.0,12.0,0.0,0.0,0.0,9.0,18.0
200,160847.0,3.0,13.0,34.0,0.0,35.0,31.0,162.0,0.0,0.0,0.0,19.0,158.0
201,19506.0,3.0,6.0,13.0,0.0,14.0,7.0,13.0,0.0,0.0,0.0,8.0,13.0
202,160424.0,3.0,15.0,36.0,0.0,16.0,6.0,9.0,0.0,0.0,0.0,32.0,41.0
203,160096.0,3.0,13.0,24.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,13.0,8.0
204,32098.0,3.0,4.0,13.0,0.0,6.0,4.0,19.0,0.0,0.0,0.0,16.0,5.0
205,179282.0,3.0,6.0,10.0,0.0,16.0,4.0,11.0,0.0,0.0,0.0,2.0,8.0
206,135654.0,3.0,8.0,32.0,0.0,11.0,6.0,6.0,0.0,0.0,0.0,18.0,37.0
207,53278.0,3.0,13.0,5.0,0.0,28.0,11.0,8.0,0.0,0.0,0.0,1.0,10.0
208,42727.0,3.0,10.0,17.0,0.0,10.0,6.0,13.0,0.0,0.0,0.0,14.0,16.0
209,42655.0,3.0,21.0,31.0,0.0,19.0,9.0,17.0,0.0,0.0,0.0,18.0,11.0
210,52240.0,3.0,27.0,44.0,0.0,13.0,3.0,13.0,0.0,1.0,0.0,29.0,21.0
211,35862.0,3.0,19.0,30.0,0.0,20.0,8.0,23.0,0.0,0.0,1.0,37.0,19.0
212,159715.0,3.0,4.0,18.0,0.0,5.0,3.0,10.0,0.0,0.0,0.0,26.0,11.0
213,160314.0,3.0,18.0,37.0,0.0,11.0,4.0,22.0,0.0,0.0,0.0,29.0,26.0
214,166103.0,3.0,4.0,10.0,0.0,17.0,6.0,8.0,0.0,0.0,1.0,6.0,7.0
215,135191.0,3.0,12.0,32.0,0.0,12.0,7.0,35.0,0.0,0.0,0.0,35.0,46.0
216,179415.0,3.0,2.0,1.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0
217,135169.0,3.0,1.0,3.0,0.0,5.0,4.0,13.0,0.0,0.0,0.0,1.0,37.0
218,44033.0,3.0,14.0,18.0,0.0,16.0,9.0,8.0,0.0,0.0,0.0,7.0,12.0
219,136935.0,2.0,5.0,7.0,0.0,27.0,23.0,79.0,1.0,0.0,0.0,16.0,102.0
220,13981.0,2.0,6.0,18.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,6.0,7.0
221,35018.0,2.0,16.0,21.0,0.0,19.0,12.0,32.0,0.0,0.0,0.0,12.0,25.0
222,91050.0,2.0,9.0,10.0,0.0,5.0,5.0,72.0,0.0,0.0,0.0,31.0,86.0
223,130310.0,2.0,8.0,26.0,0.0,15.0,6.0,10.0,0.0,0.0,0.0,23.0,26.0
224,4600.0,2.0,5.0,8.0,0.0,10.0,4.0,5.0,0.0,0.0,0.0,1.0,6.0
225,53174.0,2.0,30.0,53.0,0.0,55.0,28.0,29.0,0.0,1.0,0.0,40.0,45.0
226,10314.0,2.0,6.0,10.0,0.0,8.0,4.0,64.0,0.0,0.0,0.0,35.0,88.0
227,41062.0,2.0,4.0,7.0,0.0,27.0,25.0,160.0,0.0,0.0,0.0,49.0,189.0
228,161549.0,2.0,16.0,29.0,0.0,10.0,7.0,15.0,0.0,0.0,0.0,12.0,15.0
229,160682.0,2.0,24.0,34.0,0.0,6.0,4.0,8.0,0.0,0.0,0.0,13.0,18.0
230,175656.0,2.0,6.0,17.0,0.0,7.0,5.0,6.0,0.0,0.0,0.0,8.0,17.0
231,139561.0,2.0,5.0,25.0,0.0,15.0,9.0,25.0,0.0,0.0,0.0,3.0,5.0
232,160672.0,2.0,20.0,26.0,0.0,13.0,9.0,18.0,0.0,0.0,0.0,26.0,39.0
233,31013.0,2.0,5.0,2.0,0.0,18.0,10.0,7.0,0.0,0.0,0.0,1.0,3.0
234,162020.0,2.0,12.0,24.0,0.0,7.0,4.0,8.0,0.0,1.0,0.0,9.0,11.0
235,32203.0,2.0,7.0,14.0,0.0,19.0,5.0,2.0,1.0,0.0,0.0,5.0,1.0
236,6566.0,2.0,5.0,12.0,0.0,22.0,20.0,63.0,0.0,0.0,0.0,32.0,87.0
237,44026.0,2.0,16.0,24.0,0.0,25.0,19.0,16.0,0.0,0.0,0.0,15.0,10.0
238,6773.0,2.0,7.0,19.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,23.0,17.0
239,141189.0,2.0,10.0,8.0,0.0,13.0,8.0,10.0,0.0,2.0,0.0,6.0,7.0
240,50136.0,2.0,14.0,31.0,0.0,35.0,14.0,11.0,0.0,0.0,0.0,14.0,7.0
241,133644.0,2.0,3.0,37.0,0.0,18.0,14.0,68.0,0.0,0.0,0.0,28.0,104.0
242,128282.0,2.0,15.0,17.0,0.0,14.0,8.0,14.0,0.0,2.0,0.0,12.0,17.0
243,159689.0,2.0,4.0,15.0,0.0,23.0,18.0,69.0,0.0,0.0,0.0,43.0,93.0
244,11241.0,2.0,2.0,0.0,0.0,11.0,7.0,8.0,0.0,0.0,0.0,1.0,10.0
245,43997.0,2.0,1.0,5.0,0.0,9.0,6.0,37.0,0.0,0.0,0.0,15.0,39.0
246,160118.0,2.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0
247,160313.0,2.0,23.0,37.0,0.0,37.0,14.0,24.0,0.0,0.0,1.0,14.0,9.0
248,161459.0,2.0,12.0,38.0,0.0,7.0,0.0,15.0,0.0,0.0,0.0,21.0,38.0
249,50336.0,2.0,14.0,10.0,0.0,19.0,8.0,3.0,0.0,0.0,0.0,2.0,5.0
250,94228.0,2.0,15.0,34.0,0.0,17.0,10.0,50.0,0.0,0.0,0.0,19.0,64.0
