index,playerId,goals,goalAssist,appearances,minutePlayed,yellowCard,redCard,totalSubOn,totalSubOff
216,180046.0,1.0,1.0,16.0,676.0,1.0,0.0,7.0,7.0
217,18957.0,1.0,1.0,10.0,657.0,1.0,0.0,2.0,3.0
218,179281.0,1.0,0.0,8.0,587.0,0.0,0.0,2.0,1.0
219,133641.0,1.0,6.0,32.0,2705.0,7.0,0.0,2.0,3.0
220,132770.0,1.0,0.0,6.0,175.0,0.0,0.0,4.0,1.0
221,180035.0,1.0,0.0,7.0,501.0,0.0,0.0,1.0,2.0
222,136255.0,1.0,1.0,31.0,2790.0,4.0,0.0,0.0,0.0
223,93962.0,1.0,0.0,8.0,41.0,0.0,0.0,8.0,0.0
224,19041.0,1.0,3.0,23.0,2003.0,2.0,1.0,1.0,1.0
225,160029.0,1.0,2.0,24.0,1972.0,3.0,0.0,0.0,5.0
226,18843.0,1.0,1.0,32.0,2880.0,9.0,0.0,0.0,0.0
227,6363.0,1.0,1.0,25.0,1959.0,4.0,0.0,2.0,11.0
228,51519.0,1.0,1.0,18.0,1584.0,5.0,0.0,0.0,2.0
229,135116.0,1.0,0.0,15.0,1293.0,3.0,0.0,0.0,2.0
230,131752.0,1.0,1.0,24.0,1371.0,4.0,0.0,9.0,7.0
231,30557.0,1.0,1.0,18.0,976.0,0.0,0.0,7.0,6.0
232,6505.0,1.0,1.0,20.0,1554.0,2.0,0.0,2.0,3.0
233,132044.0,1.0,0.0,16.0,1227.0,2.0,0.0,2.0,2.0
234,46933.0,1.0,0.0,15.0,434.0,3.0,0.0,11.0,3.0
235,93725.0,1.0,2.0,21.0,1071.0,1.0,0.0,7.0,13.0
236,50015.0,1.0,2.0,24.0,2061.0,5.0,0.0,0.0,4.0
237,180200.0,1.0,1.0,6.0,90.0,0.0,0.0,6.0,0.0
238,161377.0,1.0,0.0,13.0,786.0,5.0,0.0,4.0,5.0
239,21858.0,1.0,0.0,23.0,704.0,1.0,0.0,16.0,6.0
240,26145.0,1.0,1.0,25.0,2096.0,7.0,0.0,0.0,5.0
241,33511.0,1.0,0.0,14.0,791.0,3.0,0.0,6.0,1.0
242,129762.0,0.0,1.0,16.0,1439.0,1.0,1.0,0.0,0.0
243,135262.0,0.0,0.0,28.0,2419.0,5.0,0.0,0.0,2.0
244,94007.0,0.0,1.0,21.0,1463.0,3.0,1.0,4.0,3.0
245,133133.0,0.0,0.0,30.0,2649.0,2.0,1.0,0.0,1.0
246,160422.0,0.0,2.0,19.0,1502.0,2.0,0.0,1.0,5.0
247,133644.0,0.0,2.0,24.0,1507.0,2.0,0.0,6.0,15.0
248,134381.0,0.0,0.0,15.0,634.0,1.0,0.0,9.0,5.0
249,30925.0,0.0,1.0,28.0,2520.0,3.0,0.0,0.0,0.0
250,91041.0,0.0,2.0,32.0,2880.0,6.0,0.0,0.0,0.0
251,52266.0,0.0,0.0,25.0,2160.0,5.0,0.0,1.0,1.0
252,128164.0,0.0,0.0,23.0,1843.0,4.0,0.0,2.0,3.0
253,135589.0,0.0,0.0,22.0,1803.0,5.0,0.0,3.0,1.0
254,130624.0,0.0,7.0,31.0,2158.0,4.0,0.0,7.0,7.0
255,134236.0,0.0,6.0,29.0,2515.0,3.0,0.0,0.0,4.0
256,96594.0,0.0,4.0,16.0,573.0,1.0,0.0,12.0,1.0
257,135654.0,0.0,4.0,21.0,1441.0,5.0,0.0,6.0,5.0
258,161548.0,0.0,4.0,21.0,1640.0,3.0,0.0,4.0,3.0
259,159994.0,0.0,4.0,29.0,2601.0,5.0,0.0,0.0,1.0
260,13981.0,0.0,3.0,16.0,641.0,1.0,0.0,11.0,3.0
261,44017.0,0.0,3.0,18.0,735.0,2.0,0.0,12.0,3.0
262,93882.0,0.0,3.0,16.0,846.0,0.0,0.0,6.0,7.0
263,144363.0,0.0,3.0,25.0,2002.0,4.0,0.0,3.0,0.0
264,52229.0,0.0,3.0,31.0,2678.0,5.0,0.0,0.0,10.0
265,160313.0,0.0,3.0,18.0,1363.0,1.0,0.0,3.0,2.0
266,32098.0,0.0,3.0,10.0,692.0,0.0,0.0,3.0,2.0
267,161456.0,0.0,2.0,24.0,747.0,0.0,0.0,16.0,8.0
268,133548.0,0.0,2.0,20.0,760.0,2.0,0.0,12.0,7.0
269,20262.0,0.0,2.0,27.0,2397.0,7.0,0.0,0.0,3.0
270,160682.0,0.0,2.0,18.0,1251.0,0.0,0.0,5.0,9.0
271,14109.0,0.0,2.0,17.0,1161.0,4.0,0.0,4.0,2.0
272,129761.0,0.0,2.0,23.0,1877.0,5.0,0.0,2.0,2.0
273,154432.0,0.0,2.0,23.0,1900.0,7.0,0.0,2.0,2.0
274,52087.0,0.0,2.0,18.0,1068.0,1.0,0.0,7.0,2.0
275,30562.0,0.0,2.0,21.0,1712.0,1.0,2.0,1.0,1.0
