index,playerId,shirtNum,positionInfo,loan,nationalTeamID,currentTeamId,birth,birthCountryId,playerName
119,51790,18.0,Centre Striker,False,GB-ENG,33,6/26/1991,GB-ENG,Andre Gray
120,48182,13.0,Centre Central Midfielder,False,DE,131,6/15/1991,DE,Pascal Groß
121,7018,8.0,Centre Central Midfielder,False,DE,11,10/24/1990,DE,Ilkay Gündogan
122,35017,13.0,Centre Central Midfielder,False,IE,43,1/31/1992,IE,Jeff Hendrick
123,135976,16.0,Left/Right Winger,False,IR,131,8/11/1993,IR,Alireza Jahanbakhsh
124,48260,5.0,Centre Central Defender,False,GB-ENG,7,1/11/1993,GB-ENG,Michael Keane
125,6773,11.0,Centre/Right Attacking Midfielder,False,AR,21,3/4/1992,AR,Erik Lamela
126,141189,,Defender,False,FR,23,5/20/1991,FR,Florian Lejeune
127,161463,7.0,Centre Striker,False,IE,20,1/22/1987,IE,Shane Long
128,137781,,Midfielder,False,GB-ENG,23,3/21/2000,GB-ENG,Matthew Longstaff
129,162019,23.0,Centre Central Defender,False,BR,1,4/22/1987,BR,David Luiz
130,128766,31.0,Forward,False,GB-ENG,43,11/22/1999,GB-ENG,Dwight McNeil
131,19506,7.0,Left/Centre/Right Central Midfielder,False,GB-ENG,10,1/4/1986,GB-ENG,James Milner
132,135243,13.0,Centre Central Defender,False,CO,7,9/23/1994,CO,Yerry Mina
133,160323,40.0,Centre Central Defender,False,GB-ENG,2,3/13/1993,GB-ENG,Tyrone Mings
134,179384,18.0,Centre Central Midfielder,False,AU,131,9/15/1990,AU,Aaron Mooy
135,42220,25.0,Centre Central Midfielder,False,NG,26,12/16/1996,NG,Wilfred Ndidi
136,160096,28.0,Centre Central Midfielder,False,FR,21,12/28/1996,FR,Tanguy Ndombele
137,161996,14.0,Centre Striker,True,GB-ENG,1,5/30/1999,GB-ENG,Eddie Nketiah
138,93814,61.0,Forward,False,IE,20,7/6/2000,IE,Michael Obafemi
139,20341,21.0,Left/Centre Central Defender,False,IT,25,5/23/1988,IT,Angelo Ogbonna
140,19592,30.0,Centre Central Defender,False,AR,11,2/12/1988,AR,Nicolás Otamendi
141,130671,5.0,Centre Central Defender,False,GR,1,6/9/1988,GR,Sokratis
142,162532,,Centre Central Defender,False,DE,4,3/3/1993,DE,Antonio Rüdiger
143,35800,27.0,Centre Defensive Midfielder,False,MA,38,3/26/1990,FR,Romain Saïss
144,133749,5.0,Centre Central Defender,False,CH,23,12/20/1991,CH,Fabian Schär
145,42727,15.0,Left Full Back,False,GH,6,12/23/1992,DE,Jeffrey Schlupp
146,52240,10.0,Left/Centre/Right Attacking Midfielder,False,IS,7,9/8/1989,IS,Gylfi Sigurdsson
147,35862,17.0,Left/Centre/Right Attacking Midfielder,False,FR,21,8/16/1989,FR,Moussa Sissoko
148,47001,3.0,Left Full Back,False,IE,18,7/9/1990,IE,Enda Stevens
149,129759,3.0,Centre Defensive Midfielder,False,BR,10,10/23/1993,BR,Fabinho
150,175528,20.0,Centre Striker,True,TR,7,6/7/1991,DE,Cenk Tosun
151,135169,27.0,Centre Striker,False,CZ,43,5/1/1992,CZ,Matej Vydra
152,42970,18.0,Centre Central Midfielder,False,GB-ENG,43,4/1/1990,GB-ENG,Ashley Westwood
153,160845,15.0,Left Full Back,True,NL,23,3/30/1994,NL,Jetro Willems
154,20234,4.0,Centre/Right Central Defender,False,BE,21,3/2/1989,BE,Toby Alderweireld
155,180108,17.0,Right Wing Back,True,PT,1,8/31/1991,DE,Cédric Soares
156,163811,23.0,Striker,True,RO,131,4/11/1993,RO,Florin Andone
157,53036,24.0,Right Full Back,False,CI,21,12/24/1992,CI,Serge Aurier
158,156959,4.0,Centre Central Defender,False,PY,25,8/23/1991,PY,Fabián Balbuena
159,154433,23.0,Centre Striker,True,BE,4,10/2/1993,BE,Michy Batshuayi
160,30517,35.0,Centre Central Defender,False,PL,20,4/12/1996,PL,Jan Bednarek
161,13589,3.0,Defender,True,ES,1,3/19/1995,ES,Héctor Bellerín
162,32114,17.0,Centre Striker,False,BE,6,12/3/1990,CD,Christian Benteke
163,180063,32.0,Centre Central Midfielder,False,NO,18,2/14/1998,NO,Sander Berge
164,23389,21.0,Left Full Back,False,GB-ENG,20,8/5/1989,GB-ENG,Ryan Bertrand
165,160732,29.0,Centre Defensive Midfielder,False,DK,127,6/11/1996,DK,Philip Billing
166,180212,17.0,Centre Striker,False,GB-ENG,25,12/20/1996,GB-ENG,Jarrod Bowen
167,42971,12.0,Left Winger,False,IE,43,1/14/1992,IE,Robbie Brady
168,154336,19.0,Left Full Back,False,ES,38,3/3/1994,ES,Jonny
169,135177,5.0,Centre Central Defender,True,GB-ENG,1,1/20/1995,GB-ENG,Calum Chambers
170,22162,38.0,Centre Central Midfielder,False,GB-ENG,26,10/1/1997,GB-ENG,Hamza Choudhury
171,44032,8.0,Centre Central Midfielder,False,GB-ENG,33,8/12/1989,GB-ENG,Tom Cleverley
172,10046,3.0,Left/Centre/Right Central Defender,False,GB-ENG,127,4/19/1991,GB-ENG,Steve Cook
173,19205,41.0,Centre Central Midfielder,False,GB-ENG,7,6/30/1998,GB-ENG,Tom Davies
174,160032,4.0,Centre Central Defender,False,GB-ENG,33,5/6/1990,GB-ENG,Craig Dawson
175,159741,20.0,Centre Striker,False,CH,14,8/8/1992,CH,Josip Drmic
176,33468,4.0,Left/Centre Central Defender,False,IE,131,1/1/1992,GB-NIR,Shane Duffy
177,50119,27.0,Right Full Back,False,EG,2,9/9/1987,EG,Ahmed El Mohamady
178,160488,22.0,Centre Central Defender,False,BE,2,9/15/1994,BE,Björn Engels
179,129750,6.0,Centre Central Defender,False,GB-NIR,26,1/3/1988,GB-NIR,Jonny Evans
180,10059,20.0,Left/Right Winger,False,GB-SCT,127,2/24/1994,GB-SCT,Ryan Fraser
181,23153,7.0,Left/Right Winger,False,GB-ENG,26,6/28/1996,GB-ENG,Demarai Gray
182,30985,7.0,Left Winger,False,IS,43,10/27/1990,IS,Jóhann Gudmundsson
183,166468,,Midfielder,False,GB-ENG,2,7/16/1995,GB-ENG,Kortney Hause
184,30667,14.0,Centre Central Midfielder,False,GB-ENG,23,3/22/1995,GB-ENG,Isaac Hayden
185,93960,11.0,Left/Right Winger,False,CU,14,2/1/1993,CU,Onel Hernández
186,163747,14.0,Centre Striker,False,MX,25,6/1/1988,MX,Chicharito
187,115748,11.0,Centre Attacking Midfielder,True,BR,12,1/1/1996,BE,Andreas Pereira
188,52102,20.0,Left/Right Winger,False,GB-ENG,4,11/7/2000,GB-ENG,Callum Hudson-Odoi
189,47195,19.0,Centre Central Midfielder,False,GB-ENG,33,4/17/1995,GB-ENG,Will Hughes
190,162020,17.0,Left/Centre/Right Second Striker,False,NG,7,5/3/1996,NG,Alex Iwobi
191,160897,27.0,Centre Striker,False,IT,7,2/28/2000,IT,Moise Kean
192,129760,8.0,Centre Central Midfielder,False,GN,10,2/10/1995,GN,Naby Keita
193,134321,8.0,Centre Central Midfielder,False,SN,6,12/21/1989,SN,Cheikhou Kouyaté
194,160054,17.0,Centre Central Midfielder,False,HR,4,5/6/1994,AT,Mateo Kovacic
195,94350,20.0,Left/Centre/Right Attacking Midfielder,False,GB-ENG,10,5/10/1988,GB-ENG,Adam Lallana
196,31757,6.0,Centre Central Defender,False,GB-ENG,23,11/11/1993,GB-ENG,Jamaal Lascelles
197,179421,23.0,Right Winger,True,AT,23,3/24/1996,AT,Valentino Lazaro
198,135175,8.0,Centre Central Midfielder,False,CO,127,10/25/1994,CO,Jefferson Lerma
199,51340,12.0,Left Wing Back,False,GB-NIR,14,1/25/1998,GB-ENG,Jamal Lewis
